,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
1401,1401,19293,El regalo,El regalo,"['Comedia', 'Drama']",[],"['senior citizen', 'ciudadanos mayores']",[],20
1438,1438,22625,Footloose,Footloose,"['Drama', 'Romance']",['Herbert Ross'],"['dancing', 'dancer', 'dance', 'music', 'dance teacher', 'father daughter relationship']","['Kevin Bacon', 'Lori Singer', 'John Lithgow', 'Dianne Wiest', 'Chris Penn']",20
1439,1439,22729,Paso de ti,Forgetting Sarah Marshall,"['Comedia', 'Romance', 'Drama']",['Nicholas Stoller'],"['hawaii', 'one-night stand', 'beauty']","['Jason Segel', 'Kristen Bell', 'Mila Kunis', 'Russell Brand', 'Bill Hader']",31
1440,1440,22882,Frankie y Alice (Mente criminal),Frankie & Alice,"['Drama', 'Suspense']",['Geoffrey Sax'],"['dancer', 'biography', 'racist', 'based on a true story', 'illness', 'mental']","['Halle Berry', 'Stellan Skarsgård', 'Phylicia Rashād', 'Chandra Wilson', 'Adrian Holmes']",21
1441,1441,23014,"Viernes 13, 2ª parte",Friday the 13th Part 2,"['Terror', 'Suspense']",['Steve Miner'],"['camping', 'summer camp', 'gore', 'b movie', 'slasher', 'brisbane']","['Amy Steel', 'John Furey', 'Adrienne King', 'Kirsten Baker', 'Stuart Charno']",22
1442,1442,23015,"Viernes 13, parte III",Friday the 13th Part III,"['Terror', 'Suspense']",['Steve Miner'],"['lake', 'summer camp', 'murder', 'serial killer', 'slasher', 'summer', 'jason voorhees', 'one by one', 'friday the thirteenth']","['Dana Kimmell', 'Paul Kratka', 'Tracie Savage', 'Jeffrey Rogers', 'Catherine Parks']",22
1445,1445,23286,Fast & Furious 6,Fast & Furious 6,"['Acción', 'Suspense', 'Crimen']",['Justin Lin'],"['car race', 'sequel', 'car', 'automobile racing', 'car theft']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jordana Brewster', 'Michelle Rodriguez']",32
1446,1446,23326,G-Force: Licencia para espiar,G-Force,"['Fantasía', 'Acción', 'Aventura', 'Familia', 'Comedia']",[],[],[],56
1482,1482,26570,Hotel Rwanda,Hotel Rwanda,"['Drama', 'Historia', 'Bélica']",['Terry George'],"['rwanda', 'refugee', 'refugee camp', 'militia', 'rwandan genocide', 'murder', 'slaughter', 'dead body', 'atrocity', 'african', 'cruelty', 'violence', 'united nations', 'death']","['Don Cheadle', 'Sophie Okonedo', 'Nick Nolte', 'Fana Mokoena', 'Joaquin Phoenix']",31
1483,1483,26696,Cómo entrenar a tu dragón,How to Train Your Dragon,"['Fantasía', 'Aventura', 'Animación', 'Familia']","['Dean DeBlois', 'Chris Sanders']","['flying', 'blacksmith', 'arena', 'island', 'night', 'ship', 'training', 'village', 'forest', 'viking', 'friendship', 'ignorance', 'flight', 'nest', 'dragon', 'battle', 'combat', 'well', 'warrior']","['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'David Tennant']",48
