,id,title,title_original,genres,director,keywords,cast
73,26656,How the Grinch Stole Christmas,How the Grinch Stole Christmas,[],[],[],[]
74,27024,I Spit on Your Grave,I Spit on Your Grave,[],[],[],[]
75,27076,"I, Frankenstein","I, Frankenstein",[],[],[],[]
76,27627,Inglourious Basterds,Inglourious Basterds,[],[],[],[]
77,27969,Iron Man,Iron Man,[],[],[],[]
78,28393,Jaws,Jaws,[],[],[],[]
79,28608,Jezabel,Jezebel,"['Drama', 'Romance']",['William Wyler'],"['southern usa', 'self-destruction', ""love of one's life"", 'new orleans', 'louisiana', 'yellow fever', 'female protagonist', 'epidemic', 'pride', 'vanity', 'southern belle']","['Bette Davis', 'Henry Fonda', 'George Brent', 'Margaret Lindsay', 'Donald Crisp']"
80,29292,Juno,Juno,"['Comedia', 'Drama', 'Romance']",['Jason Reitman'],"['sexuality', 'becoming an adult', 'puberty', 'first time', 'pregnancy and birth', 'pregnant minor', 'precocity', 'partnership', 'teenager', 'teenage pregnancy']","['Ellen Page', 'Michael Cera', 'Jennifer Garner', 'Jason Bateman', 'Allison Janney']"
81,29804,Mátalos suavemente,Killing Them Softly,"['Crimen', 'Suspense']",['Andrew Dominik'],"['poker', 'gambling', 'robbery', 'based on novel or book', 'hitman', 'gangster', 'economy', 'murder', 'blood', 'hit', 'mobster', 'criminal']","['Brad Pitt', 'Scoot McNairy', 'Ben Mendelsohn', 'James Gandolfini', 'Ray Liotta']"
82,29836,King Kong,King Kong,"['Aventura', 'Drama', 'Acción']",['Peter Jackson'],"['screenplay', 'show business', 'movie business', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']","['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann', 'Colin Hanks']"
83,29978,Lío embarazoso,Knocked Up,"['Comedia', 'Romance', 'Drama']",['Judd Apatow'],"['alcohol', 'one-night stand', 'bed', 'pregnancy and birth', 'condom', 'paternity', 'drug use', 'beard', 'unprotected sex', 'duringcreditsstinger']","['Seth Rogen', 'Katherine Heigl', 'Leslie Mann', 'Paul Rudd', 'Jason Segel']"
84,29986,Señales del futuro,Knowing,"['Acción', 'Aventura', 'Drama', 'Misterio', 'Ciencia ficción', 'Suspense']",['Alex Proyas'],"['cataclysm', 'code', 'suspense', 'end of the world', 'time capsule', 'astrophysicist', 'grieving widower', 'lexington massachusetts', 'westford massachusetts', 'prediction', 'researcher', 'numbers', 'news']","['Nicolas Cage', 'Rose Byrne', 'Chandler Canterbury', 'Ben Mendelsohn', 'Nadia Townsend']"
85,32226,Lawless (Sin ley),Lawless,"['Crimen', 'Drama']",['John Hillcoat'],"['based on novel or book', 'prohibition', 'brother', 'bootlegging', '1930s']","['Shia LaBeouf', 'Tom Hardy', 'Guy Pearce', 'Jessica Chastain', 'Mia Wasikowska']"
