,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
999,999,68592,Nunca apagues la luz,Lights Out,"['Terror', 'Misterio', 'Suspense']",['David F. Sandberg'],"['suicide', 'sibling relationship', 'darkness', 'basement', 'parenthood', 'mental illness', 'based on short story', 'fear of the dark', 'ghost']","['Teresa Palmer', 'Maria Bello', 'Gabriel Bateman', 'Alexander DiPersia', 'Alicia Vela-Bailey']",34
1034,1034,69090,Cigüeñas,Storks,"['Aventura', 'Animación', 'Comedia', 'Familia']","['Doug Sweetland', 'Nicholas Stoller']","['baby', 'stork', '3d']","['Andy Samberg', 'Katie Crown', 'Kelsey Grammer', 'Keegan-Michael Key', 'Jordan Peele']",47
1035,1035,69094,El editor de libros,Genius,"['Drama', 'Historia']",['Michael Grandage'],"['book', 'biography', 'writer', 'book editor', 'novelist', 'editor', '1930s']","['Colin Firth', 'Jude Law', 'Nicole Kidman', 'Laura Linney', 'Guy Pearce']",21
1037,1037,69095,Manos de piedra,Hands of Stone,['Drama'],['Jonathan Jakubowicz'],[],"['Robert De Niro', 'Edgar Ramírez', 'Jurnee Smollett', 'Ellen Barkin', 'Rubén Blades']",9
1039,1039,69100,Sing Street,Sing Street,"['Comedia', 'Romance', 'Drama', 'Música']",['John Carney'],"['london england', 'sibling relationship', 'video', 'dublin', 'music video', 'music', 'friendship', 'prom', 'school', 'singing', 'ireland', 'divorce', 'family', 'teenage boy', 'band', 'music band', 'bullied', '1980s']","['Ferdia Walsh-Peelo', 'Lucy Boynton', 'Maria Doyle Kennedy', 'Aidan Gillen', 'Jack Reynor']",41
1081,1081,71485,Indignación,Indignation,['Drama'],['James Schamus'],"['based on novel or book', 'jewish life', 'ohio', 'korean war', 'college', 'student', '1950s']","['Logan Lerman', 'Sarah Gadon', 'Tracy Letts', 'Linda Emond', 'Danny Burstein']",9
1083,1083,72029,Permitidos,Permitidos,"['Romance', 'Comedia']",['Ariel Winograd'],[],"['Martín Piroyansky', 'Lali Espósito', 'Benjamín Vicuña', 'Liz Solari']",22
1085,1085,72092,Laid in America,Laid in America,['Comedia'],[],[],[],11
1121,1121,74167,Underworld: Guerras de sangre,Underworld: Blood Wars,"['Acción', 'Fantasía', 'Terror', 'Drama']",['Anna Foerster'],"['martial arts', 'sword', 'vampire', 'ambition', 'war', 'sequel', 'betrayal', 'werewolf', 'gothic', 'uzi', 'woman director', 'urban gothic']","['Kate Beckinsale', 'Theo James', 'Tobias Menzies', 'Lara Pulver', 'Bradley James']",41
1123,1123,74374,Al final del túnel,Al final del túnel,"['Crimen', 'Suspense']",['Rodrigo Grande'],"['rain', 'wheelchair', 'computer', 'stripper', 'bank robbery', 'tunnel']","['Leonardo Sbaraglia', 'Pablo Echarri', 'Clara Lago', 'Federico Luppi', 'Javier Godino']",22
