,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
2644,2644,84367,La Torre Oscura,The Dark Tower,"['Acción', 'Fantasía', 'Ciencia ficción', 'Western', 'Terror']",['Nikolaj Arcel'],"['gunslinger', 'based on novel or book', 'portal', 'mind control', 'another world', 'parallel dimensions']","['Idris Elba', 'Matthew McConaughey', 'Tom Taylor', 'Claudia Kim', 'Fran Kranz']",62
2645,2645,84368,El Castillo de Cristal,The Glass Castle,['Drama'],['Destin Cretton'],"['dysfunctional family', 'based on memoir or autobiography', 'father daughter relationship']","['Brie Larson', 'Woody Harrelson', 'Naomi Watts', 'Max Greenfield', 'Sarah Snook']",9
2646,2646,84676,Casa casino,The House,['Comedia'],['Andrew J. Cohen'],"['casino', 'neighbor', 'money']","['Amy Poehler', 'Will Ferrell', 'Allison Tolman', 'Rob Huebel', 'Ryan Simpkins']",11
2647,2647,84677,Guardianes,Защитники,"['Acción', 'Fantasía', 'Ciencia ficción']",['Sarik Andreasyan'],"['cold war', 'superhero']","['Anton Pampushnyy', 'Sanzhar Madiyev', 'Sebastien Sisak', 'Alina Lanina', 'Valeriya Shkirando']",41
2682,2682,85785,Super Dark Times,Super Dark Times,"['Drama', 'Suspense']",['Kevin Phillips'],"['adolescence', 'sword', 'nightmare', 'insomnia', 'christmas tree', 'high school', 'murder', 'thriller', 'coming of age', 'marijuana', 'blood', 'suburb', 'youth', 'drugs', 'samurai sword', 'guilt', 'former best friend', 'christmas', '1990s', 'accidental killing']","['Owen Campbell', 'Charlie Tahan', 'Elizabeth Cappuccino', 'Max Talisman', 'Sawyer Barth']",21
2683,2683,85799,Dean,Dean,['Romance'],['Demetri Martin'],[],"['Demetri Martin', 'Gillian Jacobs', 'Christine Woods', 'Mary Steenburgen', 'Kevin Kline']",11
2684,2684,85801,Bring It On: Worldwide #Cheersmack,Bring It On: Worldwide #Cheersmack,"['Comedia', 'Romance']",['Robert Adetuyi'],['cheerleader'],"['Vivica A. Fox', 'Cristine Prosperi', 'Jordan Rodrigues', 'Sophie Vavasseur', ""Gia Lodge-O'Meally""]",22
2685,2685,85818,Dunkerque,Dunkirk,"['Acción', 'Drama', 'Historia', 'Suspense', 'Bélica']",['Christopher Nolan'],"['france', 'beach', 'europe', 'world war ii', 'evacuation', 'german', 'pilot', 'british army', 'war', 'royal navy', 'based on a true story', 'royal air force', 'soldier', 'private', 'allied forces', 'dunkirk']","['Fionn Whitehead', 'Tom Glynn-Carney', 'Aneurin Barnard', 'Jack Lowden', 'Harry Styles']",53
2686,2686,85823,Operación Avalancha,Operation Avalanche,['Suspense'],['Matt Johnson'],"['moon', 'cia', 'nasa', 'moon landing', 'conspiracy', 'handheld camera', 'mockumentary', 'car chase', 'found footage', 'russian spy', 'kubrick', '1960s', 'cia agent', 'apollo 11', 'apollo program']","['Matt Johnson', 'Owen Williams', 'Jared Raab', 'Josh Boles', 'Andrew Appelle']",12
2687,2687,85826,Su mejor historia,Their Finest,"['Romance', 'Bélica', 'Comedia', 'Drama']",['Lone Scherfig'],"['based on novel or book', 'world war ii', 'britain', 'filmmaking', 'war propaganda', 'woman director', '1940s']","['Gemma Arterton', 'Sam Claflin', 'Bill Nighy', 'Richard E. Grant', 'Jack Huston']",41
