,Unnamed: 0,id,title,title_original,genres,director,keywords,cast,genre_empty
871,871,58036,Trooper and the Legend of the Golden Key,Trooper and the Legend of the Golden Key,['Familia'],['John Rhode'],[],"['Joey Roberts', 'Marisa Persson', 'Harry Cason', 'Ellie Rose Boswell', 'Matt Clendenin']",11
872,872,58044,"Tropic Thunder, ¡una guerra muy perra!",Tropic Thunder,"['Acción', 'Comedia']",['Ben Stiller'],"['movie business', 'satire', 'jungle', 'movie star', 'southeast asia', 'land mine', 'shackles', 'war filmmaking', 'duringcreditsstinger', 'blackface', 'method acting']","['Ben Stiller', 'Tom Cruise', 'Jack Black', 'Robert Downey Jr.', 'Nick Nolte']",21
873,873,58080,Valor de ley,True Grit,"['Drama', 'Aventura', 'Western']","['Ethan Coen', 'Joel Coen']","['loss of loved one', 'based on novel or book', 'father murder', 'arkansas', 'texas ranger', 'alcoholism', 'betrayal', 'eye patch']","['Hailee Steinfeld', 'Jeff Bridges', 'Matt Damon', 'Josh Brolin', 'Barry Pepper']",32
875,875,58196,The Child's Eye,Tung ngaan,['Terror'],"['Danny Pang', 'Oxide Pang Chun']",[],"['Rainie Yang', 'Elanne Kwong', 'Jo Koo', 'Ciwi Lam', 'Izz Xu']",10
876,876,58321,Turtle Beach,Turtle Beach,"['Suspense', 'Drama']",['Stephen Wallace'],"['beach', 'australia', 'massacre']","['Greta Scacchi', 'Joan Chen', 'Jack Thompson', 'Art Malik', 'Martin Jacobs']",21
877,877,58349,12 monos,Twelve Monkeys,"['Ciencia ficción', 'Suspense', 'Misterio']",['Terry Gilliam'],"['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'cult film', 'subterranean']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",43
879,879,58559,Últimos días de la víctima,Últimos días de la víctima,"['Crimen', 'Suspense']",['Adolfo Aristarain'],"['hitman', 'argentina']","['Federico Luppi', 'Soledad Silveyra', 'Ulises Dumont', 'Julio De Grazia', 'Arturo Maly']",22
884,884,59137,Alerta máxima,Under Siege,"['Acción', 'Suspense']",['Andrew Davis'],"['cook', 'war ship', 'mercenary', 'nuclear missile', 'hostage-taking']","['Steven Seagal', 'Tommy Lee Jones', 'Gary Busey', 'Erika Eleniak', ""Patrick O'Neal""]",22
885,885,59138,Alerta máxima 2,Under Siege 2: Dark Territory,"['Acción', 'Suspense']",['Geoff Murphy'],"['terrorist', 'pentagon', 'satellite', 'navy seal', 'train']","['Steven Seagal', 'Eric Bogosian', 'Everett McGill', 'Katherine Heigl', 'Morris Chestnut']",22
886,886,59163,Undermind,Undermind,"['Suspense', 'Drama', 'Fantasía', 'Crimen']",['Nevil Dwek'],"['self-discovery', 'chaos', 'alcoholism', 'psychological thriller']","['Sam Trammell', 'Erik Jensen', 'Susan May Pratt', 'Ellen Pompeo', 'Celia Weston']",43
